date,postId,source,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url,total_views,average_order,seen_by,visible
2019-05-14 16:35:00+00:00,10158929740629896,ABC.es,El segundo asiento de los populares en la Mesa lo ocuparía Adolfo Suárez Illana,353.0,266.0,36.0,44.0,1.0,0.0,6.0,72.0,/story.php?story_fbid=10158929740629896&id=7377874895,2.0,30.5,1.0,yes
2019-05-14 16:40:00+00:00,2753884521294069,eldiario.es,"Tax Justice Network pelea, desde Reino Unido, por la justicia fiscal. Una especie de misión comparable con la del hobbit que intenta recuperar el tesoro perdido.",31.0,26.0,2.0,2.0,1.0,0.0,0.0,3.0,/story.php?story_fbid=2753884521294069&id=417471918268686,0.0,0.0,0.0,no
2019-05-14 16:50:01+00:00,10158929791624896,ABC.es,"Lavrov ha mantenido un encuentro con su homólogo estadounidense, Mike Pompeo, para debatir sobre la situación en el país americano",34.0,15.0,8.0,0.0,0.0,0.0,11.0,35.0,/story.php?story_fbid=10158929791624896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 16:58:26+00:00,10158929819624896,ABC.es,¡Buenas noches! Aquí tienes las noticias que marcaron la actualidad del día. También en versión web: http://ver.abc.es/78stm,11.0,8.0,1.0,0.0,0.0,0.0,2.0,5.0,/story.php?story_fbid=10158929819624896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 17:05:01+00:00,10158929848634896,ABC.es,Los independentistas se decantarían el jueves por bloquear la aspiración del líder del PSC para presidir el Senado,73.0,19.0,44.0,4.0,0.0,0.0,6.0,29.0,/story.php?story_fbid=10158929848634896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 17:08:29+00:00,10158929859249896,ABC.es,🔴#ÚLTIMAHORA El delantero galo del Atlético le habría comunicado al club su deseo de poner fin a su etapa como rojiblanco,70.0,30.0,32.0,0.0,7.0,0.0,1.0,49.0,/story.php?story_fbid=10158929859249896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 17:10:00+00:00,2753908814624973,eldiario.es,Del puesto dos al once: España deja de ser un país referente en derechos LGTBI.,763.0,130.0,10.0,4.0,26.0,249.0,344.0,57.0,/story.php?story_fbid=2753908814624973&id=417471918268686,13.0,16.76923076923077,2.0,yes
2019-05-14 17:20:00+00:00,10158929894814896,ABC.es,Borrell considera «lo más normal» que el edificio del representante diplomático de España en Caracas esté rodeado por policías tras refugiarse allí el líder opositor,47.0,6.0,3.0,0.0,1.0,1.0,36.0,20.0,/story.php?story_fbid=10158929894814896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 17:35:01+00:00,10158929943774896,ABC.es,Diego Matamoros asegura que su padre compra caprichos a sus novias en vez de devolverle el dinero a su hermana,17.0,4.0,7.0,0.0,4.0,1.0,1.0,18.0,/story.php?story_fbid=10158929943774896&id=7377874895,3.0,41.333333333333336,1.0,yes
2019-05-14 17:40:00+00:00,2753877511294770,eldiario.es,"A los españoles nos gusta beber cerveza, pero ten cuidado: la 0,0 también engorda. Te lo cuentan en ConsumoClaro.",37.0,30.0,6.0,0.0,1.0,0.0,0.0,14.0,/story.php?story_fbid=2753877511294770&id=417471918268686,0.0,0.0,0.0,no
2019-05-14 17:50:00+00:00,10158929985709896,ABC.es,Ahora las mejores tiendas son las que no venden nada.,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,/story.php?story_fbid=10158929985709896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 18:05:00+00:00,10158930033249896,ABC.es,"Así es el durián, la fruta de olor sulfuroso que triunfa (o es odiada) en Asia",26.0,14.0,10.0,0.0,2.0,0.0,0.0,3.0,/story.php?story_fbid=10158930033249896&id=7377874895,0.0,0.0,0.0,no
